,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
1285,Austria,2023-08-26,31.0,21.5,26.2,AUT,Europe
1286,Poland,2023-02-18,9.0,4.3,6.4,POL,Europe
1287,Finland,2023-02-16,2.2,0.9,1.5,FIN,Europe
1288,Norway,2023-05-17,12.6,2.8,7.4,NOR,Europe
1289,Germany,2023-05-13,21.5,10.8,16.1,DEU,Europe
1290,Belgium,2022-12-24,11.1,7.9,9.6,BEL,Europe
1291,Hungary,2022-11-12,14.0,6.7,9.5,HUN,Europe
1292,Belgium,2023-05-13,20.1,9.7,14.9,BEL,Europe
1293,Spain,2023-09-12,27.2,20.6,23.8,ESP,Europe
1294,Andorra,2023-01-13,6.7,-1.4,1.6,AND,Europe
1295,Bosnia and Herzegovina,2023-07-15,31.3,16.7,24.0,BIH,Europe
1296,Luxembourg,2022-12-23,12.6,9.1,10.6,LUX,Europe
1297,Luxembourg,2022-09-21,16.5,5.2,10.4,LUX,Europe
1298,"Moldova, Republic of",2023-02-12,3.6,-2.4,0.5,MDA,Europe
1299,Latvia,2022-09-20,13.2,9.6,11.4,LVA,Europe
1300,Norway,2023-06-17,27.6,14.4,21.3,NOR,Europe
1301,France,2023-07-27,22.3,17.8,19.6,FRA,Europe
1302,Finland,2023-09-12,20.8,14.8,17.3,FIN,Europe
1303,Slovenia,2023-03-14,12.8,4.6,7.5,SVN,Europe
1304,Poland,2023-08-19,31.7,21.2,26.1,POL,Europe
1305,Croatia,2023-09-09,29.7,15.2,22.0,HRV,Europe
1306,Romania,2023-05-01,20.0,9.6,14.6,ROU,Europe
1307,North Macedonia,2022-09-29,23.9,14.6,18.5,MKD,Europe
1308,Greece,2023-04-22,18.7,12.6,15.3,GRC,Europe
1309,North Macedonia,2023-05-13,18.9,9.9,14.1,MKD,Europe
1310,Croatia,2023-02-14,11.1,-0.1,5.0,HRV,Europe
1311,Denmark,2023-01-28,2.5,-2.7,0.3,DNK,Europe
1312,Norway,2022-11-30,1.8,-1.3,-0.2,NOR,Europe
1313,Italy,2022-12-25,17.7,8.7,12.4,ITA,Europe
1314,Finland,2023-01-22,1.8,-0.8,0.7,FIN,Europe
1315,Bulgaria,2023-05-09,11.5,7.2,9.5,BGR,Europe
1316,Finland,2023-02-13,4.8,2.3,3.6,FIN,Europe
1317,Serbia,2022-10-27,21.2,13.0,16.4,SRB,Europe
1318,Luxembourg,2023-04-03,8.8,-0.4,3.5,LUX,Europe
1319,Andorra,2023-08-03,16.7,7.2,12.4,AND,Europe
1320,Lithuania,2022-12-19,-7.0,-11.6,-9.0,LTU,Europe
1321,Poland,2023-07-16,34.3,20.3,27.1,POL,Europe
1322,Poland,2023-05-13,19.9,8.3,14.7,POL,Europe
1323,Croatia,2023-07-03,27.9,17.2,22.4,HRV,Europe
1324,Norway,2023-03-05,-0.5,-11.5,-5.7,NOR,Europe
1325,Slovakia,2023-06-09,23.5,13.8,18.1,SVK,Europe
1326,Slovakia,2023-05-08,17.1,4.0,10.3,SVK,Europe
1327,Lithuania,2023-08-05,25.0,14.8,19.9,LTU,Europe
1328,Lithuania,2023-09-10,23.3,11.2,17.0,LTU,Europe
1329,"Moldova, Republic of",2023-02-25,14.0,3.2,8.4,MDA,Europe
1330,Slovenia,2023-08-29,21.3,13.8,16.1,SVN,Europe
1331,Luxembourg,2023-07-10,27.9,17.3,22.3,LUX,Europe
1332,Bosnia and Herzegovina,2023-07-23,30.8,16.5,24.2,BIH,Europe
1333,Kosovo,2023-07-04,29.7,16.0,22.5,,
1334,Belgium,2023-07-19,22.4,13.3,18.0,BEL,Europe
